state,county,per_100000_population,gender,race,location,latitude_longitude
al,randolph county,433.0,female,overall,1111,33302268 8545696
al,russell county,301.4,female,overall,1113,32294434 85183533
al,st clair county,344.7,female,overall,1115,33714796 86317073
al,shelby county,255.6,female,overall,1117,33272349 86662124
al,sumter county,414.4,female,overall,1119,32592159 88198779
al,talladega county,421.3,female,overall,1121,3338655 86165729
al,tallapoosa county,353.1,female,overall,1123,32870228 85796142
al,tuscaloosa county,316.1,female,overall,1125,33297694 87520245
al,walker county,556.1,female,overall,1127,33808663 87297984
al,washington county,410.8,female,overall,1129,31414015 88206517
al,wilcox county,653.7,female,overall,1131,31997603 87309377
al,winston county,419.6,female,overall,1133,34155045 87372984
al,autauga county,427.8,overall,white,1001,32540743 86642658
al,baldwin county,385.8,overall,white,1003,3074338 87725037
al,barbour county,437.3,overall,white,1005,31875526 85392733
al,bibb county,415.1,overall,white,1007,32999586 87128286
al,blount county,424.6,overall,white,1009,339833 86566107
al,bullock county,390.1,overall,white,1011,32105445 85716374
al,butler county,472.8,overall,white,1013,31756743 86685543
al,calhoun county,585.5,overall,white,1015,33776116 85827265
al,chambers county,361.1,overall,white,1017,32918605 85389755
al,cherokee county,492.7,overall,white,1019,34175592 8560109
al,chilton county,546.6,overall,white,1021,3285542 86717847
al,choctaw county,485.4,overall,white,1023,32023039 88263625
al,clarke county,408.9,overall,white,1025,31685276 87828202
al,clay county,540.1,overall,white,1027,33275512 85861243
al,cleburne county,542.8,overall,white,1029,33676437 85521058
al,coffee county,413.0,overall,white,1031,31408678 85987616
al,colbert county,559.7,overall,white,1033,34700954 87805794
al,conecuh county,476.9,overall,white,1035,31436316 86992084
al,coosa county,419.3,overall,white,1037,32940608 86246358
al,covington county,482.3,overall,white,1039,31249891 86449316
al,crenshaw county,467.8,overall,white,1041,31738498 86315231
al,cullman county,442.1,overall,white,1043,34135642 86864859
al,dale county,435.1,overall,white,1045,31437921 85612525
al,dallas county,502.2,overall,white,1047,32331714 87103947
al,dekalb county,563.8,overall,white,1049,34462067 85803144
al,elmore county,472.4,overall,white,1051,32599774 86150224
al,escambia county,454.7,overall,white,1053,31133221 87162551
al,etowah county,555.7,overall,white,1055,34048713 86037592
al,fayette county,469.3,overall,white,1057,33726047 87737656
al,franklin county,545.3,overall,white,1059,34445544 87843784
al,geneva county,451.0,overall,white,1061,31100302 85833243
al,greene county,393.7,overall,white,1063,32861522 879517
al,hale county,419.9,overall,white,1065,32769973 87626815
al,henry county,397.4,overall,white,1067,31528365 85241061
al,houston county,357.3,overall,white,1069,31163114 85295081
al,jackson county,522.1,overall,white,1071,34784419 85993741
al,jefferson county,355.0,overall,white,1073,33558145 86898116
al,lamar county,488.4,overall,white,1075,3378226 88094104
al,lauderdale county,388.0,overall,white,1077,34905347 87644897
al,lawrence county,534.7,overall,white,1079,34524888 87309085
al,lee county,352.3,overall,white,1081,32605632 85354778
al,limestone county,468.8,overall,white,1083,34816826 86981625
al,lowndes county,381.9,overall,white,1085,32160667 86649084
al,macon county,423.1,overall,white,1087,32393582 8569193
al,madison county,395.0,overall,white,1089,34765116 86548305
al,marengo county,496.6,overall,white,1091,32252503 87787786
al,marion county,583.7,overall,white,1093,34140618 87885921
al,marshall county,520.3,overall,white,1095,34373461 86301726
al,mobile county,443.0,overall,white,1097,30801931 88209318
al,monroe county,387.7,overall,white,1099,3157641 87363884
al,montgomery county,353.8,overall,white,1101,3222779 86207305
al,morgan county,476.5,overall,white,1103,3445678 86853086
al,perry county,508.0,overall,white,1105,32640101 87292576
al,pickens county,432.1,overall,white,1107,33285701 88089005
al,pike county,404.2,overall,white,1109,31809652 8594098
al,randolph county,536.2,overall,white,1111,33302268 8545696
al,russell county,369.7,overall,white,1113,32294434 85183533
al,st clair county,441.1,overall,white,1115,33714796 86317073
